Procedure Description,Patient Class (Inpatient/Outpatient),Code,Quantity,Rev Code,Gross Charge,Discounted Cash Price (Uninsured Discount 35%),Derived Negotiated Rate Estimate Min,Derived Negotiated Rate Estimate Max,Derived Negotiated Rate Estimate Min.1,Derived Negotiated Rate Estimate Max.1,Derived Negotiated Rate Estimate Min.2,Derived Negotiated Rate Estimate Max.2,HCPCS,HCPCS description
Hc Susceptibility Study Enzyme Det,Outpatient,CPT® 87185,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,54.0,35.1,44.6,49.73,8.64,10.26,4.94,4.94,87185,Microbe susceptible enzyme
Hc Susceptibility Study Enzyme Det So,Outpatient,CPT® 87185,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,593.0,385.45,489.82,546.15,94.88,112.67,4.94,4.94,87185,Microbe susceptible enzyme
Hc Sensitivity Mic,Outpatient,CPT® 87186,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,128.0,83.2,105.73,117.89,20.48,24.32,9.0,9.0,87186,Microbe susceptible mic
Hc Susceptibility Aerobic Mic,Outpatient,CPT® 87186,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,282.0,183.3,232.93,259.72,45.12,53.58,9.0,9.0,87186,Microbe susceptible mic
Hc Susceptibility Mic Each Per Plate So,Outpatient,CPT® 87186,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,407.0,264.55,336.18,374.85,65.12,77.33,9.0,9.0,87186,Microbe susceptible mic
Hc Susceptibility Mtb Complex,Outpatient,CPT® 87188,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,505.0,328.25,417.13,465.11,80.8,95.95,,,87188,Microbe suscept macrobroth
Hc Gram Stain Smear Only,Outpatient,CPT® 87205,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,132.0,85.8,109.03,121.57,21.12,25.080000000000002,4.44,4.44,87205,Smear gram stain
HC AFB SMEAR ONLY TB,Outpatient,CPT® 87206,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,174.0,113.10000000000001,143.72,160.25,27.84,33.06,5.61,5.61,87206,Smear fluorescent/acid stai
Hc Smear Spec Stain Bodies Parasites,Outpatient,CPT® 87207,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,178.0,115.7,147.03,163.94,28.48,33.82,6.23,6.23,87207,Smear special stain
Hc Stain For Inclusion Bodies Parasites So,Outpatient,CPT® 87207,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,83.0,53.95,68.56,76.44,13.280000000000001,15.77,6.23,6.23,87207,Smear special stain
Hc Smear Spec Stain Bodies Parasites Blood,Outpatient,CPT® 87207,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,178.0,115.7,147.03,163.94,28.48,33.82,6.23,6.23,87207,Smear special stain
Hc Smr Prim Src Cplx Spec Stain So,Outpatient,CPT® 87209,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,113.0,73.45,14.69,35.37,18.080000000000002,21.47,18.7,18.7,87209,Smear complex stain
Hc Trichrome Stain,Outpatient,CPT® 87209,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,239.0,155.35,14.69,35.37,38.24,45.410000000000004,18.7,18.7,87209,Smear complex stain
HC WET PREPARATION,Outpatient,CPT® 87210,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,161.0,104.65,132.99,148.28,25.76,30.59,6.05,6.05,87210,Smear wet mount saline/ink
Hc Smear Wet Preparation So,Outpatient,CPT® 87210,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,75.0,48.75,61.95,69.08,12.0,14.25,6.05,6.05,87210,Smear wet mount saline/ink
CULTURE VIRAL COMPREHENSIVE SENDOUT,Outpatient,CPT® 87252,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,245.0,159.25,202.37,225.65,39.2,46.55,,,87252,Virus inoculation tissue
HC CULTURE VIRAL CMV,Outpatient,CPT® 87253,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,169.0,109.85000000000001,139.59,155.65,27.04,32.11,,,87253,Virus inoculate tissue addl
Hc Virus Isol Shell Vial Ea,Outpatient,CPT® 87254,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,60.0,39.0,49.56,55.26,9.6,11.4,20.34,20.34,87254,Virus inoculation shell via
Hc Culture Viral Hsv,Outpatient,CPT® 87255,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,288.0,187.20000000000002,237.89,265.25,46.08,54.72,,,87255,Genet virus isolate hsv
Hc Adenovirus Antigen,Outpatient,CPT® 87260,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,112.0,72.8,92.51,103.15,17.92,21.28,,,87260,Adenovirus ag if
Hc Legionella Dfa,Outpatient,CPT® 87278,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,144.0,93.60000000000001,118.94,132.62,23.04,27.36,,,87278,Legion pneumophilia ag if
Hc Rsv Antigen Dfa,Outpatient,CPT® 87280,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,282.0,183.3,232.93,259.72,45.12,53.58,,,87280,Respiratory syncytial ag if
Hc Pneumocystis Dfa Bronchial,Outpatient,CPT® 87281,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,311.0,202.15,256.89,286.43,49.76,59.09,12.46,12.46,87281,Pneumocystis carinii ag if
ASPERGILLUS ANTIGEN SENDOUT,Outpatient,CPT® 87305,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,88.0,57.2,72.69,81.05,14.08,16.72,12.46,12.46,87305,Aspergillus ag ia
Hc C Difficile Toxin Assay A And B,Outpatient,CPT® 87324,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,155.0,100.75,128.03,142.76,24.8,29.45,12.46,12.46,87324,Clostridium ag ia
Hc Cryptosporidium Antigen By Eia,Outpatient,CPT® 87328,1,0302 - LABORATORY IMMUNOLOGY,166.0,107.9,9.79,24.5,26.560000000000002,31.54,14.37,14.37,87328,Cryptosporidium ag ia
Hc Giardia Antigen By Eia,Outpatient,CPT® 87329,1,0302 - LABORATORY IMMUNOLOGY,168.0,109.2,9.79,24.5,26.88,31.92,12.46,12.46,87329,Giardia ag ia
ENTAMOEBA HISTOLYTICA ANTGN FECES SENDOUT,Outpatient,CPT® 87337,1,0302 - LABORATORY IMMUNOLOGY,235.0,152.75,194.11,216.44,37.6,44.65,,,87337,Entamoeb hist group ag ia
H PYLORI ANTIGEN STOOL SENDOUT,Outpatient,CPT® 87338,1,0302 - LABORATORY IMMUNOLOGY,138.0,89.7,113.99,127.1,22.080000000000002,26.22,14.96,14.96,87338,Hpylori stool ag ia
Hc Hepatitis B Surface Antigen,Outpatient,CPT® 87340,1,0302 - LABORATORY IMMUNOLOGY,31.0,20.150000000000002,25.61,28.55,4.96,5.89,10.74,10.74,87340,Hepatitis b surface ag ia
Hc Iaad Ia Hepatitis B Surface Ag Neutralization So,Outpatient,CPT® 87341,1,0302 - LABORATORY IMMUNOLOGY,131.0,85.15,108.21,120.65,20.96,24.89,10.74,10.74,87341,Hep b surface ag neutrlzj ia
Hc Hepatitis Be Antigen,Outpatient,CPT® 87350,1,0302 - LABORATORY IMMUNOLOGY,40.0,26.0,33.04,36.84,6.4,7.6,11.99,11.99,87350,Hepatitis be ag ia
Hc Hepatitis D Delta Antigen,Outpatient,CPT® 87380,1,0302 - LABORATORY IMMUNOLOGY,376.0,244.4,13.4,33.52,60.160000000000004,71.44,19.09,19.09,87380,Hepatitis delta agent ag ia
Hc Histoplasma Antgn Quant Eia Mvist So,Outpatient,CPT® 87385,1,0302 - LABORATORY IMMUNOLOGY,236.0,153.4,194.94,217.36,37.76,44.84,13.78,13.78,87385,Histoplasma capsul ag ia
Hc Hiv-1/-2 Ags And Abs Single Result,Outpatient,CPT® 87389,1,0302 - LABORATORY IMMUNOLOGY,73.0,47.45,60.3,67.23,11.68,13.870000000000001,,,87389,Hiv-1 ag w/hiv-1&-2 ab ag ia
Hc Hiv-1/-2 Ags And Abs Single Result So,Outpatient,CPT® 87389,1,0302 - LABORATORY IMMUNOLOGY,62.0,40.300000000000004,51.21,57.1,9.92,11.78,,,87389,Hiv-1 ag w/hiv-1&-2 ab ag ia
Hc Influenza A And B Antigen Screen,Outpatient,CPT® 87400,1,0302 - LABORATORY IMMUNOLOGY,214.0,139.1,176.76,197.09,34.24,40.660000000000004,,,87400,Influenza a/b each ag ia
RSV ANTIGEN,Outpatient,CPT® 87420,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,87.0,56.550000000000004,71.86,80.13,13.92,16.53,14.47,14.47,87420,Resp syncytial virus ag ia
ROTAVIRUS ANTIGEN FECES SENDOUT,Outpatient,CPT® 87425,1,0302 - LABORATORY IMMUNOLOGY,599.0,389.35,494.77,551.68,95.84,113.81,12.46,12.46,87425,Rotavirus ag ia
Hc Infectious Agent Antigen By Eia So,Outpatient,CPT® 87449,1,0302 - LABORATORY IMMUNOLOGY,387.0,251.55,319.66,356.43,61.92,73.53,12.46,12.46,87449,Nos each organism ag ia
Hc Infectious Agent Antigen By Eia,Outpatient,CPT® 87449,1,0302 - LABORATORY IMMUNOLOGY,249.0,161.85,205.67,229.33,39.84,47.31,12.46,12.46,87449,Nos each organism ag ia
Hc Bartonella By Pcr,Outpatient,CPT® 87471,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,224.0,145.6,185.02,206.3,35.84,42.56,,,87471,Bartonella dna amp probe
Hc Lyme Disease By Pcr,Outpatient,CPT® 87476,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,200.0,130.0,165.2,184.2,32.0,38.0,36.49,36.49,87476,Lyme dis dna amp probe
Hc Candida Species Direct Probe,Outpatient,CPT® 87480,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,133.0,86.45,109.86,122.49,21.28,25.27,20.85,20.85,87480,Candida dna dir probe
Hc Iadna Candida Species Amp Probe So,Outpatient,CPT® 87481,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,136.0,88.4,112.34,125.26,21.76,25.84,,,87481,Candida dna amp probe
Hc Cns Dna Amp Probe Type 12-25,Outpatient,CPT® 87483,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,1229.0,798.85,1015.15,1131.91,196.64000000000001,233.51,433.45,433.45,87483,Cns dna amp probe type 12-25
Hc Chlamydia Pneumoniae Amp Probe,Outpatient,CPT® 87486,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,769.0,499.85,635.19,708.25,123.04,146.11,36.49,36.49,87486,Chlmyd pneum dna amp probe
Hc Chylmd Pneum Dna Amp Probe So,Outpatient,CPT® 87486,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,47.0,30.55,38.82,43.29,7.5200000000000005,8.93,36.49,36.49,87486,Chlmyd pneum dna amp probe
Hc Dna Probe Chlamydia,Outpatient,CPT® 87490,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,46.0,29.900000000000002,38.0,42.37,7.36,8.74,,,87490,Chlmyd trach dna dir probe
Hc Rna Probe Amplified Chlamydia,Outpatient,CPT® 87491,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,91.0,59.15,75.17,83.81,14.56,17.29,36.49,36.49,87491,Chlmyd trach dna amp probe
Hc Chlamydia Trachomatis Amplified Rna So,Outpatient,CPT® 87491,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,91.0,59.15,75.17,83.81,14.56,17.29,36.49,36.49,87491,Chlmyd trach dna amp probe
Hc C Difficile Toxin Gene Pcr,Outpatient,CPT® 87493,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,387.0,251.55,319.66,356.43,61.92,73.53,38.76,38.76,87493,C diff amplified probe
Hc C Difficile Toxin Pcr,Outpatient,CPT® 87493,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,185.0,120.25,152.81,170.39,29.6,35.15,38.76,38.76,87493,C diff amplified probe
CMV AMPLIFIED PROBE SENDOUT,Outpatient,CPT® 87496,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,142.0,92.3,117.29,130.78,22.72,26.98,36.49,36.49,87496,Cytomeg dna amp probe
Hc Cmv Amp Probe Panel,Outpatient,CPT® 87496,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,88.0,57.2,72.69,81.05,14.08,16.72,36.49,36.49,87496,Cytomeg dna amp probe
Hc Cmv By Pcr Quant So,Outpatient,CPT® 87497,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,162.0,105.3,34.98,87.5,25.92,30.78,44.55,44.55,87497,Cytomeg dna quant
Hc Enterovirus By Pcr Amplified Prob Sendout,Outpatient,CPT® 87498,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,173.0,112.45,142.9,159.33,27.68,32.87,36.49,36.49,87498,Enterovirus probe&revrs trns
Hc Enterovirus Amp Probe Panel,Outpatient,CPT® 87498,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,88.0,57.2,72.69,81.05,14.08,16.72,36.49,36.49,87498,Enterovirus probe&revrs trns
Hc Influenza Rna Amp Probe,Outpatient,CPT® 87502,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,332.0,215.8,274.23,305.77,53.120000000000005,63.08,99.63,99.63,87502,Influenza dna amp probe
Hc Influenza Dna Or  Rna Amp Probe,Outpatient,CPT® 87502,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,332.0,215.8,274.23,305.77,53.120000000000005,63.08,99.63,99.63,87502,Influenza dna amp probe
Hc Fsed Influenza Dna Amp Probe,Outpatient,CPT® 87502,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,332.0,215.8,274.23,305.77,53.120000000000005,63.08,99.63,99.63,87502,Influenza dna amp probe
Hc Influenza Dna Amp Probe Addl,Outpatient,CPT® 87503,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,80.0,52.0,66.08,73.68,12.8,15.2,,,87503,Influenza dna amp prob addl
Hc Nfct Agent Dna/rna Gastrointestinal Pathogen So,Outpatient,CPT® 87505,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,184.0,119.60000000000001,104.78,259.43,29.44,34.96,133.42,133.42,87505,Nfct agent detection gi
Hc Iadna-dna/rna Gi Pthgn Multiplex Probe Tq 12-25,Outpatient,CPT® 87507,1,0300 - LABORATORY,1071.0,696.15,340.43,986.39,171.36,203.49,377.56,377.56,87507,Iadna-dna/rna probe tq 12-25
Hc Iadna-dna/rna Gi Pthgn Multiplex Probe Tq 12-25 So,Outpatient,CPT® 87507,1,0300 - LABORATORY,792.0,514.8000000000001,340.43,729.43,126.72,150.48,377.56,377.56,87507,Iadna-dna/rna probe tq 12-25
Hc Gardnerella Vaginalis Direct Prob,Outpatient,CPT® 87510,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,133.0,86.45,109.86,122.49,21.28,25.27,20.85,20.85,87510,Gardner vag dna dir probe
HEPATITIS B VIRAL DNA SENDOUT,Outpatient,CPT® 87517,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,271.0,176.15,223.85,249.59,43.36,51.49,44.55,44.55,87517,Hepatitis b dna quant
Hc Hcv Virus Quantitation,Outpatient,CPT® 87522,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,1021.0,663.65,843.35,940.34,163.36,193.99,44.55,44.55,87522,Hepatitis c revrs trnscrpj
HEPATITIS C QUANT AND REVERSE TRANSCRIPTION SENDOUT,Outpatient,CPT® 87522,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,238.0,154.70000000000002,196.59,219.2,38.08,45.22,44.55,44.55,87522,Hepatitis c revrs trnscrpj
Hc Hsv By Pcr So,Outpatient,CPT® 87529,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,127.0,82.55,28.66,71.68,20.32,24.13,36.49,36.49,87529,Hsv dna amp probe
Hc Hsv Amp Probe Panel,Outpatient,CPT® 87529,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,88.0,57.2,28.66,71.68,14.08,16.72,36.49,36.49,87529,Hsv dna amp probe
Hc Herpes Simplex Virus By Pcr,Outpatient,CPT® 87530,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,332.0,215.8,274.23,305.77,53.120000000000005,63.08,,,87530,Hsv dna quant
HUMAN HERPES VIRUS-6 HHV 6 PCR SENDOUT,Outpatient,CPT® 87532,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,242.0,157.3,199.89,222.88,38.72,45.980000000000004,36.49,36.49,87532,Hhv-6 dna amp probe
Hc Human Herpes Virus-6 Amp Probe Panel,Outpatient,CPT® 87532,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,88.0,57.2,72.69,81.05,14.08,16.72,36.49,36.49,87532,Hhv-6 dna amp probe
Hc Iadna Herpes Virus 6 Quant So,Outpatient,CPT® 87533,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,1650.0,1072.5,34.11,85.28,264.0,313.5,43.43,43.43,87533,Hhv-6 dna quant
Hc Hiv Amplified Probe,Outpatient,CPT® 87535,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,153.0,99.45,126.38,140.91,24.48,29.07,,,87535,Hiv-1 probe&reverse trnscrpj
HIV-1 QUANT AND REVERSE TRANSCRIPTION SENDOUT,Outpatient,CPT® 87536,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,224.0,145.6,185.02,206.3,35.84,42.56,88.5,88.5,87536,Hiv-1 quant&revrse trnscrpj
Hc Hiv 1 Virus Quantitation,Outpatient,CPT® 87536,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,904.0,587.6,746.7,832.58,144.64000000000001,171.76,88.5,88.5,87536,Hiv-1 quant&revrse trnscrpj
Hc Hiv 2 Amplified Probe,Outpatient,CPT® 87538,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,486.0,315.90000000000003,28.66,71.68,77.76,92.34,36.49,36.49,87538,Hiv-2 probe&revrse trnscripj
Hc Tuberculosis By Pcr So,Outpatient,CPT® 87556,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,211.0,137.15,174.29,194.33,33.76,40.09,43.35,43.35,87556,M.tuberculo dna amp probe
Hc M Tuberculosis Amplified Probe,Outpatient,CPT® 87556,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,440.0,286.0,363.44,405.24,70.4,83.6,43.35,43.35,87556,M.tuberculo dna amp probe
Hc Mycoplasma Genitalium Detection By Nucleic Acid Amplified Probe So,Outpatient,CPT® 87563,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,639.0,415.35,28.0,588.52,102.24000000000001,121.41,36.49,36.49,87563,M. genitalium amp probe
Hc Mycoplasma Pneumoniae By Pcr,Outpatient,CPT® 87581,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,386.0,250.9,318.84,355.51,61.76,73.34,36.49,36.49,87581,M.pneumon dna amp probe
Hc Myco Pneumon Dna Amp Probe So,Outpatient,CPT® 87581,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,47.0,30.55,38.82,43.29,7.5200000000000005,8.93,36.49,36.49,87581,M.pneumon dna amp probe
Hc Dna Probe Gonorrhoeae Gc,Outpatient,CPT® 87590,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,232.0,150.8,191.63,213.67,37.12,44.08,,,87590,N.gonorrhoeae dna dir prob
Hc Rna Probe Amplified Gonorrhoeae,Outpatient,CPT® 87591,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,91.0,59.15,75.17,83.81,14.56,17.29,36.49,36.49,87591,N.gonorrhoeae dna amp prob
Hc Neisseria Gonnorrhoeae Amplified Rna So,Outpatient,CPT® 87591,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,91.0,59.15,75.17,83.81,14.56,17.29,36.49,36.49,87591,N.gonorrhoeae dna amp prob
Hc Hpv Probe High Risk Types So,Outpatient,CPT® 87624,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,184.0,119.60000000000001,31.59,169.46,29.44,34.96,36.49,36.49,87624,Hpv high-risk types
Hc Hpv Types 16 And 18 Only,Outpatient,CPT® 87625,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,88.0,57.2,72.69,81.05,14.08,16.72,42.17,42.17,87625,Hpv types 16 & 18 only
Hc Resp Virus 3 To 5 Targets,Outpatient,CPT® 87631,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,677.0,440.05,116.67,623.52,108.32000000000001,128.63,148.34,148.34,87631,Resp virus 3-5 targets
Hc Resp Virus 6 To 11 Targets,Outpatient,CPT® 87632,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,379.0,246.35,313.05,349.06,60.64,72.01,,,87632,Resp virus 6-11 targets
IADNA RESPIRATRY PROBE & REV TRNSCR 12-25 TARGET,Outpatient,CPT® 87633,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,761.0,494.65000000000003,628.59,700.88,121.76,144.59,433.45,433.45,87633,Resp virus 12-25 targets
RSV DNA/RNA AMP PROBE,Outpatient,CPT® 87634,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,193.0,125.45,159.42,177.75,30.88,36.67,,,87634,Rsv dna/rna amp probe
SARSCOV2 AND FLU A/B AMP PROBE,Outpatient,CPT® 87636,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,330.0,214.5,272.58,303.93,52.800000000000004,62.7,,,87636,Sarscov2 & inf a&b amp prb
SARS-COV2 AND FLU A/B AMP PROBE,Outpatient,CPT® 87636,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,330.0,214.5,272.58,303.93,52.800000000000004,62.7,,,87636,Sarscov2 & inf a&b amp prb
SARS-COV2 AND FLU A/B AMP PROBE SENDOUT,Outpatient,CPT® 87636,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,378.0,245.70000000000002,312.23,348.14,60.480000000000004,71.82000000000001,,,87636,Sarscov2 & inf a&b amp prb
HC SARSCOV2 AND FLU A/B AND RSV AMP PROBE,Outpatient,CPT® 87637,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,330.0,214.5,272.58,303.93,52.800000000000004,62.7,,,87637,Sarscov2&inf a&b&rsv amp prb
STAPH AUREUS DNA AMP PROBE SENDOUT,Outpatient,CPT® 87640,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,375.0,243.75,309.75,345.38,60.0,71.25,,,87640,Staph a dna amp probe
Hc Mrsa Screen  Probe,Outpatient,CPT® 87641,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,507.0,329.55,418.78,466.95,81.12,96.33,36.49,36.49,87641,Mr-staph dna amp probe
Hc Streptococcus Grp A Direct Probe,Outpatient,CPT® 87650,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,269.0,174.85,222.19,247.75,43.04,51.11,,,87650,Strep a dna dir probe
Hc Streptococcus Group A Amplified Probe,Outpatient,CPT® 87651,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,155.0,100.75,128.03,142.76,24.8,29.45,,,87651,Strep a dna amp probe
STREP A AMPLIF NA PROBE,Outpatient,CPT® 87651,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,97.0,63.050000000000004,80.12,89.34,15.52,18.43,,,87651,Strep a dna amp probe
STREP GROUP A AMPLIFIED PROBE,Outpatient,CPT® 87651,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,155.0,100.75,128.03,142.76,24.8,29.45,,,87651,Strep a dna amp probe
Hc Strep Group B By Pcr Amp Probe,Outpatient,CPT® 87653,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,288.0,187.20000000000002,237.89,265.25,46.08,54.72,36.49,36.49,87653,Strep b dna amp probe
Hc Strep Group B Amp Probe Panel,Outpatient,CPT® 87653,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,88.0,57.2,72.69,81.05,14.08,16.72,36.49,36.49,87653,Strep b dna amp probe
Hc Trichomonas Vaginalis Direct Prob,Outpatient,CPT® 87660,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,133.0,86.45,109.86,122.49,21.28,25.27,20.85,20.85,87660,Trichomonas vagin dir probe
TRICHOMONAS VAGINALIS AMPLIF SENDOUT,Outpatient,CPT® 87661,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,119.0,77.35000000000001,98.29,109.6,19.04,22.61,36.49,36.49,87661,Trichomonas vaginalis amplif
Hc Trichomonas Vaginalis Amplified Probe,Outpatient,CPT® 87661,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,77.0,50.050000000000004,63.6,70.92,12.32,14.63,36.49,36.49,87661,Trichomonas vaginalis amplif
"Hc Infectious Agent Detection By Nucleic Acid; Zika Virus, Amplified Probe Technique",Outpatient,CPT® 87662,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,656.0,426.40000000000003,48.0,604.18,104.96000000000001,124.64,53.36,53.36,87662,Zika virus dna/rna amp probe
HC DNA PROBE AMPLIFIED PCR,Outpatient,CPT® 87798,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,639.0,415.35,527.81,588.52,102.24000000000001,121.41,36.49,36.49,87798,Detect agent nos dna amp
HC MALARIA DETECTION BY PCR,Outpatient,CPT® 87798,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,375.0,243.75,309.75,345.38,60.0,71.25,36.49,36.49,87798,Detect agent nos dna amp
Hc Infectious Agent Det Amp Probe Panel,Outpatient,CPT® 87798,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,88.0,57.2,72.69,81.05,14.08,16.72,36.49,36.49,87798,Detect agent nos dna amp
Hc Infectious Agent Quant Dir Probe So,Outpatient,CPT® 87799,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,410.0,266.5,34.98,87.5,65.6,77.9,44.55,44.55,87799,Detect agent nos dna quant
DNA/RNA; MULTI ORG-AMP PR,Outpatient,CPT® 87801,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,236.0,153.4,194.94,217.36,37.76,44.84,73.01,73.01,87801,Detect agnt mult dna ampli
Hc Inf Agt Det By Nuc Acid Amp Pr So,Outpatient,CPT® 87801,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,295.0,191.75,243.67,271.7,47.2,56.05,73.01,73.01,87801,Detect agnt mult dna ampli
INF AGT DET BY NUC ACID AMP PR SPECIAL SENDOUT,Outpatient,CPT® 87801,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,870.0,565.5,718.62,801.27,139.20000000000002,165.3,73.01,73.01,87801,Detect agnt mult dna ampli
Hc Influenza Antigen Immunoassay W Dir Optical Obs,Outpatient,CPT® 87804,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,163.0,105.95,134.64,150.12,26.080000000000002,30.97,17.21,17.21,87804,Influenza assay w/optic
Hc Fsed Influenza Antigen Immunoassay W Dir Optical Obs,Outpatient,CPT® 87804,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,163.0,105.95,134.64,150.12,26.080000000000002,30.97,17.21,17.21,87804,Influenza assay w/optic
Hc Hiv Antigen W/hiv Antibodies,Outpatient,CPT® 87806,1,0300 - LABORATORY,65.0,42.25,53.69,59.87,10.4,12.35,34.08,34.08,87806,Hiv ag w/hiv1&2 antb w/optic
Hc Fsed Rsv Antigen Nasal Swab,Outpatient,CPT® 87807,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,441.0,286.65000000000003,364.27,406.16,70.56,83.79,,,87807,Rsv assay w/optic
Hc Fsed Trichomonas,Outpatient,CPT® 87808,1,0306 - LAB BACTERIOLOGY/MICROBIOLOGY,26.0,16.900000000000002,21.48,23.95,4.16,4.94,,,87808,Trichomonas assay w/optic
